i	j	affiliation
ARRIGNON MEDHI	2013_ST40	NA
ARRIGNON MEHDI	2011_ST20	PACTE, IEP GRENOBLE
ARRIGNON MEHDI	2011_ST46	PACTE, IEP GRENOBLE
ARRIGNON MEHDI	2015_ST39	METAFORT, AGROPARISTECH / VETAGROSUP, ENSV CLERMONT FERRAND / PACTE, IEP GRENOBLE
ARRIGNON MEHDI	2015_ST44	METAFORT, AGROPARISTECH
ARRIGNON MEHDI	2015_ST56	METAFORT, AGROPARISTECH / VETAGROSUP, ENSV CLERMONT FERRAND
ARRIGONI MATHILDE	2011_ST48	CERI, SCIENCES PO PARIS
ARRIGONI MATHILDE	2015_ST8	CERSA CERI PARIS
ARSENE SEVERINE	2011_ST48	U. LILLE 3
ARTIOLI FRANCESCA	2015_ST41	CEE, SCIENCES PO PARIS / IEP BORDEAUX
ARTIS AMELIE	2013_ST9	ESEAC IEP GRENOBLE
ATAKAN ELA	2011_ST7	U. GALATASARAY ISTANBUL (TURQUIE)
AUBERT ANTOINE	2017_ST3	CESSP, U. PARIS 1
AUBERT ANTOINE	2017_ST74	CESSP, U. PARIS 1
AUBIN DAVID	2009_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
AUBIN DAVID	2017_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
AUBRY ARIANE	2017_ST6	IEP LYON
AUBURTIN ERIC	2011_ST34	IFG, U. PARIS 8
AUCANTE YOHANN	2009_ST23	CESTA, PARIS
AUCANTE YOHANN	2015_ST38	CESPRA, EHESS PARIS
AUDEMARD JULIEN	2011_ST33	CEPEL, U. MONTPELLIER 1
AUDEMARD JULIEN	2011_ST35	CEPEL, U. MONTPELLIER 1
AUDEMARD JULIEN	2015_ST21	CEPEL, U. MONTPELLIER 1
AUDEMARD JULIEN	2015_ST4	CEPEL, U. MONTPELLIER 1
AUDEMARD JULIEN	2017_ST33	CEPEL, U. MONTPELLIER 1
AUDIKANA ANDER	2009_ST121	LVMT, U. PARIS EST / PACTE, IEP GRENOBLE
AUST JEROME	2009_ST24	CSO, SCIENCES PO PARIS
AUST JEROME	2011_ST12	CSO, SCIENCES PO PARIS
AUTESSERRE SEVERINE	2015_ST51	COLUMBIA U. (USA)
AUVERT ANNE JULIE	2013_ST2	CRESPPA-GTM, U. PARIS 8
AVANZA MARTINA	2009_ST34	IRIS, EHESS PARIS
AVANZA MARTINA	2009_ST39	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
AVANZA MARTINA	2015_ST16	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
AVANZA MARTINA	2017_ST2	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
AYARI MICHAEL	2009_ST49	IREMAM
AYKUT STEFAN	2017_ST17	LISIS
AYKUT STEFAN	2017_ST7	LISIS
AYMES MARC	2013_ST2	CETOBAC, EHESS PARIS / COLLEGE DE FRANCE
AZAM NICOLAS	2011_ST32	CESSP, U. PARIS 1
AZAM NICOLAS	2017_ST55	CESSP-CRPS, U. PARIS 1
BAAMARA LAYLA	2013_ST42	CHERPA, IEP AIX EN PROVENCE
BACHELOT CAROLE	2011_ST40	CEE
BACHELOT CAROLE	2013_ST7	ISP, U. PARIS 10
BACHELOT CAROLE	2015_ST21	IRENEE, U. LORRAINE
BACHELOT CAROLE	2015_ST8	IRENEE, U. LORRAINE
BACHTIGER ANDRE	2015_ST24	U. STUTTGART (ALLEMAGNE)
BACOT PAUL	2009_ST10	U. LYON IEP
BACOT PAUL	2015_ST8	TRIANGLE
BACZKO ADAM	2013_ST12	EHESS PARIS
BACZKO ADAM	2015_ST53	EHESS PARIS
BADACHE FANNY	2015_ST54	U. GENEVE (SUISSE)
BADOUARD ROMAIN	2015_ST18	U. CERGY PONTOISE
BAEZA CECILIA	2009_ST36	CERI, SCIENCES PO PARIS
BAEZA CECILIA	2017_ST62	PONTIFICIA U. CATOLICA SAO PAULO (BRESIL)
BAHCECIK SERIF ONUR	2017_ST65	NA
BAILER STEFANIE	2011_ST44	CENTRE COMPARATIVE INTERNATIONAL STUDIES, ZURICH (SUISSE)
BAILLAT ALICE	2015_ST33	CERI, SCIENCES PO PARIS
BAILLAT ALICE	2017_ST72	SCIENCES PO PARIS
BAILLEUX JULIE	2009_ST18	CRPS, U. PARIS 1
BAILLEUX JULIE	2013_ST56	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
BAILLOT HELENE	2013_ST50	U. PARIS 1
BAILLOT HELENE	2015_ST15	CESSP, U. PARIS 1
BAILLY VICTOR	2017_ST9	GESTE ENGEES
BAISNEE OLIVIER	2011_ST31	LASSP, IEP TOULOUSE
BAISNEE OLIVIER	2013_ST42	LASSP, IEP TOULOUSE
BAIXAS LIONEL	2013_ST53	CERI SCIENCES PO PARIS
BAIXAS LIONEL	2015_ST47	CERI, SCIENCES PO PARIS
BAIXAS LIONEL	2015_ST52	CERI, SCIENCES PO PARIS
BAJTAY PETER	2015_ST43	NA
BALAS MARIE	2017_ST59	DYNAMIQUES EUROPEENNES, U. STRASBOURG
BALL JEREMY	2015_ST52	DICKINSON COLLEGE (USA)
BALLAND LUDIVINE	2009_ST29	LASSP, IEP TOULOUSE
BALLAND LUDIVINE	2013_ST24	LASSP, IEP TOULOUSE
BALLANGE ALIENOR	2015_ST29	CEVIPOF, SCIENCES PO PARIS
BALLET MARION	2013_ST27	SCIENCES PO PARIS
BALOGE MARTIN	2013_ST8	CESSP-CRPS, U. PARIS 1
BALOGE MARTIN	2015_ST20	CESSP-CRPS, U. PARIS 1
BALOGE MARTIN	2015_ST28	CESSP, U. PARIS 1
BALOGE MARTIN	2017_ST37	CESSP, U. PARIS 1
BAN CAROLYN	2015_ST42	U. PITTSBURG (USA)
BANDEIRA COELHO DENILSON	2015_ST43	UNB
BANDELOW NILS	2017_ST25	IFS, TECHNISCHE U. BRAUNSCHWEIG (ALLEMAGNE)
BANEGAS RICHARD	2009_ST9	U. PARIS 1
BANEGAS RICHARD	2015_ST51	CERI, SCIENCES PO PARIS
BARANETS ELIE	2015_ST60	U. BORDEAUX 4
BARAT RAPHAEL	2015_ST25	U. LYON2 LARHRA
BARBERA OSCAR	2011_ST30	U. VALENCIA (ESPAGNE)
BARBIER CLEMENT	2017_ST11	U. PARIS 8, CRESPPA-CSU
BARBIER JEAN CLAUDE	2009_ST23	U. PARIS 1
BARBIER JEAN CLAUDE	2009_ST28	U. PARIS 1
BARBIER JEAN CLAUDE	2015_ST38	CES, U. PARIS 1
BARBOT JANINE	2015_ST8	CERMES3
BARDET FABRICE	2017_ST10	[MINISTERE ENVIRONNEMENT] / EVS-RIVES, U. LYON / ENTPE LYON
BARDET FABRICE	2017_ST11	EVS-RIVES, U. LYON / ENTPE LYON
BARDON AURELIA	2013_ST64	SCIENCES PO PARIS
BARENBOIM AXEL	2013_ST44	U. PARIS 10
BARGEAU ADELAIDE	2015_ST17	SAGE, U. STRASBOURG
BARGEAU ADELAIDE	2017_ST26	SAGE, U. STRASBOURG
BARGEL LUCIE	2009_ST35	CRPS, U. PARIS 1
BARGEL LUCIE	2009_ST6	CRPS, U. PARIS 1
BARGEL LUCIE	2011_ST13	ERMES, U. NICE
BARGEL LUCIE	2013_ST33	ERMES, U. NICE
BARGEL LUCIE	2015_ST20	ERMES, U. NICE / CESSP, U. PARIS 1
BARGEL LUCIE	2015_ST3	ERMES, U. NICE / CESSP, U. PARIS 1
BARISIONE MAURO	2013_ST27	U. MILAN (ITALIE)
BARONE SYLVAIN	2013_ST27	G EAU, IRSTEA, U. MONTPELLIER 1
BARONE SYLVAIN	2017_ST36	G EAU, IRSTEA, U. MONTPELLIER 1
BARONE SYLVAIN	2017_ST7	G EAU, IRSTEA, U. MONTPELLIER 1
BARRAULT LORENZO	2011_ST35	CESSP-CRPS U. PARIS 1
BARRAULT LORENZO	2011_ST38	NA
BARRAULT LORENZO	2013_ST13	CESAER, INRA DIJON
BARRAULT LORENZO	2013_ST26	CESAER, INRA DIJON
BARRAULT LORENZO	2013_ST30	CESAER, INRA DIJON
BARRAULT LORENZO	2015_ST17	SAGE
BARRAULT LORENZO	2015_ST2	SAGE
BARRAULT LORENZO	2015_ST4	SAGE
BARRAULT LORENZO	2017_ST29	NA
BARRAULT LORENZO	2017_ST39	CRESPPA-CSU
BARRIER JULIEN	2013_ST4	IFE, TRIANGLE, ENS LYON
BARRIERES SARAH	2015_ST49	NA
BARRIO ASTRID	2011_ST30	U. VALENCIA (ESPAGNE)
BARROCHE JULIEN	2015_ST29	INALCO PARIS
BARROS FLAVIA	2013_ST48	NA
BARROS FLAVIA	2015_ST56	PLATIAU IREL / U. BRASILIA
BARROS FRANCOISE	2009_ST6	CSU, U. PARIS 8
BARTHAS JEREMIE	2013_ST22	QUEEN MARY U. LONDON (ROYAUME-UNI)
BASILIEN MARIE LAURE	2013_ST63	IEE, U. PARIS 3
BASTIN GILLES	2009_ST32	PACTE, IEP GRENOBLE
BATAILLE NICOLAS	2017_ST75	CITERES / CRENAU
BATYGIN KIRILL	2013_ST41	NA
BAUDEWYNS PIERRE	2009_ST13	U. CATHOLIQUE LOUVAIN (BELGIQUE)
BAUDEWYNS PIERRE	2009_ST5	U. CATHOLIQUE LOUVAIN (BELGIQUE)
BAUDOT PIERRE YVES	2009_ST24	ISSP ISP
BAUDOT PIERRE YVES	2009_ST27	TRIANGLE, LYON
BAUDOT PIERRE YVES	2009_ST45	ISP, ENS CACHAN
BAUDOT PIERRE YVES	2011_ST14	NA
BAUDOT PIERRE YVES	2013_ST37	NA
BAUDOT PIERRE YVES	2015_ST18	NA
BAUDOT PIERRE YVES	2017_ST42	NA
BAUDUIN BARBARA	2017_ST13	PACTE, U. GRENOBLE ALPES / CENTRE MARC BLOCH BERLIN (ALLEMAGNE)
BAUME SANDRINE	2015_ST25	U. LAUSANNE (SUISSE)
BAUMGARTNER FRANK	2013_ST23	U. NORTH CAROLINA CHAPEL HILL (USA)
BAYART JEAN FRANCOIS	2009_ST9	NA
BAZIN ANNE	2013_ST43	IEP LILLE / CERAPS, U. LILLE 2
BAZIN ANNE	2015_ST51	IEP LILLE / CERAPS, U. LILLE 2
BEAL VINCENT	2009_ST26	CERAPSE TEMIS, U. SAINT ETIENNE
BEAL VINCENT	2013_ST19	SAGE, U. STRASBOURG
BEAL VINCENT	2017_ST9	SAGE, U. STRASBOURG
BEAU REMI	2017_ST76	SOPHIAPOL, U. PARIS 10
BEAUDONNET LAURIE	2009_ST14	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
BEAUDONNET LAURIE	2013_ST26	U. MONTREAL (CANADA)
BEAUGE JULIEN	2013_ST29	CURAPP-ESS, U. PICARDIE
BEAUGUITTE LAURENT	2015_ST55	IDEES, U. ROUEN
BEAUGUITTE LAURENT	2015_ST7	GEOMEDIA, IDEES, U. ROUEN
BEAULIEU YANNICK	2009_ST38	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
BEAUMAZY BRIGITTE	2013_ST27	NA
BEAUSSIER ANNE LAURE	2009_ST11	CEPEL, U. MONTPELLIER 1
BEAUSSIER ANNE LAURE	2011_ST44	CEPEL, U. MONTPELLIER 1
BEAUSSIER ANNE LAURE	2013_ST1	CEPEL, U. MONTPELLIER 1
BEAUSSIER ANNE LAURE	2017_ST25	CEPEL, U. MONTPELLIER 1
BEAUVALLET WILLY	2013_ST10	SAGE
BEAUVALLET WILLY	2015_ST20	TRIANGLE, U. LYON 2
BEAUVALLET WILLY	2015_ST27	TRIANGLE, U. LYON 2
BEAUVALLET WILLY	2017_ST37	TRIANGLE, U. LYON 2
BECLARD JULIEN	2009_ST21	IEE, U. LIBRE BRUXELLES (BELGIQUE)
BECOT RENAUD	2015_ST14	CMH, EHESS PARIS & ENS PARIS
BEDOCK CAMILLE	2013_ST28	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
BEDOCK CAMILLE	2015_ST32	IEP BORDEAUX
BEDOCK CAMILLE	2015_ST6	IEP BORDEAUX / LIEPP, SCIENCES PO PARIS
BEDOCK CAMILLE	2017_ST43	U. LIBRE BRUXELLES (BELGIQUE)
BEGUE LAURENT	2015_ST8	MSH
BEGUE LAURENT	2015_ST9	NA
BEHR VALENTIN	2011_ST50	U. STRASBOURG, GSPE
BEHR VALENTIN	2013_ST36	U. STRASBOURG SAGE
BEHR VALENTIN	2015_ST45	U. STRASBOURG /UMR 7363 SAGE
BELAALA SELMA	2009_ST31	CERI, SCIENCES PO PARIS
BELAID MEHDI	2011_ST6	U. PARIS 1
BELANGER LOUIS	2013_ST49	SCIENCE POLITIQUE, U. LAVAL (CANADA)
BELARBI MHAMMED	2009_ST49	U. MOHAMMED V AGDAL RABAT (MAROC)
BELL DUNCAN	2015_ST60	U. CAMBRIDGE (ROYAUME-UNI)
BELLEAU MARIE CLAIRE	2011_ST52	U. LAVAL (CANADA)
BELLIER IRENE	2013_ST47	IIAC-LAIOS, EHESS PARIS
BELLON ANNE	2015_ST40	CESSP, U. PARIS 1
BELOMO PELAGIE	2009_ST37	U. CATHOLIQUE AFRIQUE CENTRALE YAOUNDE (CAMEROUN)
BELORGEY NICOLAS	2011_ST11	CMH-ETT, EHESS PARIS & ENS PARIS
BELORGEY NICOLAS	2011_ST27	NA
BELOT CELINE	2009_ST32	PACTE, IEP GRENOBLE
BELOT CELINE	2013_ST26	PACTE, IEP GRENOBLE
BELOT CELINE	2013_ST6	NA
BELOT CELINE	2013_ST7	PACTE, GRENOBLE
BELOT CELINE	2015_STPOPACT	PACTE / PACTE, IEP GRENOBLE
BEN MABROUK TAOUFIK	2009_ST122	PACTE
BENAMOUZIG DANIEL	2013_ST15	CSO, SCIENCES PO PARIS
BENBOUZID BILEL	2009_ST43	ENTPE
BENBOUZID BILEL	2015_ST18	LATTS
BENBOUZID BILEL	2017_ST10	LISIS, U. PARIS EST MARNE LA VALLEE
BENDJABALLAH SELMA	2009_ST11	CEE, SCIENCES PO PARIS
BENDJABALLAH SELMA	2011_ST44	CEE, SCIENCES PO PARIS
BENHAIM YOHANAN	2015_ST19	CESSP, U. PARIS 1 / CETOBAC, EHESS PARIS
BENHAIM YOHANAN	2017_ST69	CESSP, U. PARIS 1
BENHAIM YOHANAN	2017_ST71	CESSP, U. PARIS 1
BENNANI MOUNIA	2009_ST49	CHRAIBI IEPI, U. LAUSANNE (SUISSE)
BENNINGHOFF MARTIN	2009_ST24	OSPS, U. LAUSANNE (SUISSE)
BENNINGHOFF MARTIN	2011_ST12	OSPS, U. LAUSANNE (SUISSE)
BENOIT CYRIL	2015_ST15	CED U. BORDEAUX
BENOIT CYRIL	2015_ST32	IEP BORDEAUX
BENOIT CYRIL	2017_ST18	U. ROUEN
BENOIT CYRIL	2017_ST38	NA
BENOIT MAUDE	2015_ST2	U. MONTPELLIER 1, U. LAVAL (CANADA)
BENQUET MARLENE	2009_ST8	CMH, EHESS PARIS & ENS PARIS
BENVEGNU NICOLAS	2009_ST43	ECOLE DES MINES PARIS
BENVEGNU NICOLAS	2013_ST31	SCIENCES PO PARIS / TELECOM PARISTECH
BENVEGNU NICOLAS	2017_ST16	MEDIALAB, SCIENCES PO PARIS
BERARD YANN	2013_ST20	CRPLC, U. ANTILLES GUYANE
BERARD YANN	2013_ST33	CRPLC, U. ANTILLES GUYANE
BERARD YANN	2017_ST6	CRPLC, U. ANTILLES GUYANE
BERAUD LUCIE	2015_ST32	CERSA, U. PARIS 2
BERAUD LUCIE	2015_ST33	NA
BERGAMASCHI ISALINE	2015_ST51	U. LOS ANDES BOGOTA (COLOMBIE)
BERGAMASHI ISALINE	2009_ST32	CERI, SCIENCES PO PARIS
BERGAMASHI ISALINE	2011_ST15	NA
BERGERON HENRI	2009_ST22	CSO, SCIENCES PO PARIS
BERGERON HENRI	2011_ST16	CSO, SCIENCES PO PARIS
BERGERON HENRI	2011_ST23	CSO, SCIENCES PO PARIS
BERGERON HENRI	2013_ST17	CSO, SCIENCES PO PARIS
BERGES MICHEL	2011_ST1	U. BORDEAUX 4 / GRSG
BERJAUD CLEMENTINE	2013_ST26	CESSP, U. PARIS 1-CRPS
BERJAUD CLEMENTINE	2013_ST6	CESSP-CRPS, U. PARIS 1
BERJAUD CLEMENTINE	2015_ST58	CESSP-CRPS, U. PARIS 1 / GEIVEN
BERJAUD CLEMENTINE	2017_ST39	CESSP, U. PARIS 1
BERMUDEZ ANASTASIA	2015_ST5	U. LIEGE (BELGIQUE)
BERNADOU VANESSA	2009_ST46	IRISES, U. PARIS 9 DAUPHINE
BERNARD LAURA	2015_ST4	UAPV
BERNARDIN STEVE	2013_ST21	NA
BERNIER ANDRE	2017_ST75	U. OTTAWA (CANADA)
BERNIER NICOLE	2009_ST14	ECOLE SANTE PUBLIQUE, U. MONTREAL (CANADA)
BERNY NATHALIE	2009_ST41	SPIRIT, IEP BORDEAUX
BERNY NATHALIE	2011_ST16	SPIRIT, IEP BORDEAUX
BERNY NATHALIE	2013_ST50	CED, IEP BORDEAUX
BERNY NATHALIE	2013_ST62	CED, IEP BORDEAUX
BEROUD SOPHIE	2011_ST39	TRIANGLE, U. LYON 2
BEROUD SOPHIE	2013_ST37	TRIANGLE, U. LYON 2
BEROUD SOPHIE	2015_ST14	TRIANGLE, U. LYON 2
BEROUD SOPHIE	2017_ST59	TRIANGLE, U. LYON 2
BERRIET MARIELLE	2011_ST17	AGROSUP DIJON / CESAER, INRA DIJON
BERTHAUD PIERRE	2013_ST49	ECONOMIE-CREG, U. GRENOBLE
BERTHET THIERRY	2009_ST121	SPIRIT, IEP BORDEAUX
BERTHET THIERRY	2009_ST122	SPIRIT, IEP BORDEAUX
BERTHET THIERRY	2015_ST39	CED, IEP BORDEAUX
BERTHONNEAU CHARLES	2015_ST14	LEST, U. AIX MARSEILLE 2
BERTILLOT HUGO	2015_ST31	CSO SCIENCE PO
BERTILLOT HUGO	2017_ST22	EHESP RENNES
BERTINA LUDOVIC	2017_ST58	GSRL, EPHE PARIS
BERTRAND GILLES	2009_ST32	SPIRIT, IEP BORDEAUX
BERTRAND GILLES	2009_ST36	SPIRIT, IEP BORDEAUX
BERTRAND GILLES	2011_ST2	CED, IEP BORDEAUX
BERTRAND GILLES	2011_ST7	CED, IEP BORDEAUX
BERTRAND GILLES	2013_ST48	CED, IEP BORDEAUX
BERTRAND GILLES	2017_ST66	CED, IEP BORDEAUX
BERTRAND ROMAIN	2009_ST35	CERI, SCIENCES PO PARIS
BERTRAND ROMAIN	2009_ST44	CERI, SCIENCES PO PARIS
BERTRAND ROMAIN	2009_ST50	CERI, SCIENCES PO PARIS
BERTRAND ROMAIN	2009_ST9	CERI, SCIENCES PO PARIS
BERUT CHLOE	2017_ST25	PACTE, IEP GRENOBLE
BESCONT AMELIE	2017_ST28	CEVIPOF, SCIENCES PO PARIS
BESSARD RUDY	2015_ST8	CENTRE MONTESQUIEU
BESSIERE CELINE	2011_ST52	IRISSO, U. PARIS 9 / CMH, EHESS PARIS & ENS PARIS
BESSIERE CELINE	2015_ST17	IRISSO, U. PARIS 9 / CMH, EHESS PARIS & ENS PARIS
BESSONE MAGALI	2011_ST21	U. RENNES 1
BESSONE MAGALI	2013_ST43	U. RENNES 1
BEUNARDEAU PAULINE	2013_ST2	CSPRP, U. PARIS 7
